Date/Time,avg,max,min
2023-09-27 00:00:00,20.35,28.42,12.79
2023-09-26 00:00:00,19.8,28.93,15.05
2023-09-25 00:00:00,18.89,25.85,14.95
2023-09-24 00:00:00,18.1,20.84,15.03
2023-09-23 00:00:00,24.03,33.62,17.77
2023-09-22 00:00:00,23.71,33.25,17.53
2023-09-21 00:00:00,21.57,29.19,17.13
2023-09-20 00:00:00,20.63,30.31,13.14
2023-09-19 00:00:00,22.63,29.24,17.86
2023-09-18 00:00:00,21.89,28.92,15.67
2023-09-17 00:00:00,21.64,27.26,17.61
2023-09-16 00:00:00,20.53,27.62,14.1
2023-09-15 00:00:00,20.35,25.87,15.84
2023-09-14 00:00:00,22.52,29.63,17.58
2023-09-13 00:00:00,23.07,32.98,14.84
2023-09-12 00:00:00,22.5,33.12,13.7
2023-09-11 00:00:00,22.03,31.83,13.97
2023-09-10 00:00:00,21.58,31.77,13.5
2023-09-09 00:00:00,21.83,31.65,13.68
2023-09-08 00:00:00,21.51,29.86,13.55
2023-09-07 00:00:00,21.44,29.74,14.1
2023-09-06 00:00:00,21.16,28.89,14.33
2023-09-05 00:00:00,19.29,27.37,13.66
2023-09-04 00:00:00,17.87,23.82,13.34
2023-09-03 00:00:00,21.27,30.58,14.57
2023-09-02 00:00:00,21.54,31.38,13.43
2023-09-01 00:00:00,21.1,27.36,15.76
2023-08-31 00:00:00,20.37,26.93,15.02
2023-08-30 00:00:00,21.08,27.14,16.14
2023-08-29 00:00:00,24.04,28.98,18.73
2023-08-28 00:00:00,28.18,37.19,19.74
2023-08-27 00:00:00,27.7,36.05,20.02
2023-08-26 00:00:00,26.94,35.25,19.11
2023-08-25 00:00:00,26.18,34.17,18.58
2023-08-24 00:00:00,26.97,35.62,20.79
2023-08-23 00:00:00,27.23,36.48,19.99
2023-08-22 00:00:00,26.37,36.19,19.37
2023-08-21 00:00:00,27.05,36.52,20.81
2023-08-20 00:00:00,26.06,37.07,18.65
2023-08-19 00:00:00,25.88,31.76,19.79
2023-08-18 00:00:00,25.22,32.44,18.29
2023-08-17 00:00:00,22.25,29.03,16.44
2023-08-16 00:00:00,19.56,21.82,18.65
2023-08-15 00:00:00,21.67,28.8,18.03
2023-08-14 00:00:00,23.8,32.22,15.16
2023-08-13 00:00:00,21.51,30.14,12.32
2023-08-12 00:00:00,20.95,29.09,13.97
2023-08-11 00:00:00,19.88,26.85,12.5
2023-08-10 00:00:00,19.87,27,15.55
